order_id,order_date,customer_age,restaurant_type,order_value,delivery_distance_km,delivery_time_minutes,payment_method,delivery_partner_rating,order_status,order_month,order_dayofweek,age_group,delivery_speed,distance_category,order_size
1,2024-11-05,62,Indian,497.51,11.07,79,UPI,3.9,Cancelled,11,Tuesday,Senior (45+),Slow,Far,Regular
2,2024-08-20,35,Bakery,232.32,5.83,69,Wallet,2.7,Cancelled,8,Tuesday,Adult (30-44),Slow,Medium,Budget
3,2024-02-28,34,Italian,540.82,3.61,70,Wallet,3.4,Cancelled,2,Wednesday,Adult (30-44),Slow,Near,Regular
4,2024-05-26,65,Cafe,1197.99,3.66,18,Card,4.6,Cancelled,5,Sunday,Senior (45+),Fast,Near,Premium
5,2024-09-21,40,Indian,947.03,12.08,57,UPI,4.9,Delayed,9,Saturday,Adult (30-44),Normal,Far,Premium
6,2024-03-16,51,Italian,835.75,3.56,85,UPI,3.8,Delayed,3,Saturday,Senior (45+),Slow,Near,Regular
7,2024-11-20,52,Cafe,771.83,14.37,80,Card,3.7,Delivered,11,Wednesday,Senior (45+),Slow,Far,Regular
8,2024-11-24,52,Chinese,926.2,12.81,19,UPI,4.4,Delayed,11,Sunday,Senior (45+),Fast,Far,Premium
9,2024-07-23,38,Bakery,548.11,13.54,42,Cash,4.1,Delayed,7,Tuesday,Adult (30-44),Normal,Far,Regular
10,2024-07-01,24,Fast Food,177.18,8.15,29,Cash,2.9,Delivered,7,Monday,Young (18-29),Fast,Medium,Budget
11,2024-09-16,27,Cafe,806.68,5.43,53,Cash,3.1,Cancelled,9,Monday,Young (18-29),Normal,Medium,Regular
12,2024-08-27,61,Bakery,1193.33,9.68,26,UPI,3.5,Delivered,8,Tuesday,Senior (45+),Fast,Medium,Premium
13,2024-01-09,31,Chinese,758.14,1.28,57,Cash,2.9,Delayed,1,Tuesday,Adult (30-44),Normal,Near,Regular
14,2024-09-02,47,Cafe,937.07,13.41,88,Wallet,3.8,Cancelled,9,Monday,Senior (45+),Slow,Far,Premium
15,2024-08-21,62,Chinese,810.18,12.36,87,Cash,5.0,Delayed,8,Wednesday,Senior (45+),Slow,Far,Regular
16,2024-07-24,38,Bakery,773.12,9.07,50,Wallet,2.8,Cancelled,7,Wednesday,Adult (30-44),Normal,Medium,Regular
17,2024-04-09,54,Cafe,816.14,10.95,86,UPI,4.8,Delayed,4,Tuesday,Senior (45+),Slow,Far,Regular
18,2024-04-20,43,Cafe,640.6,4.49,50,Cash,4.1,Delayed,4,Saturday,Adult (30-44),Normal,Near,Regular
19,2024-03-01,54,Indian,193.87,4.4,63,UPI,2.8,Delivered,3,Friday,Senior (45+),Slow,Near,Budget
20,2024-08-23,23,Chinese,183.09,14.11,52,Cash,2.9,Cancelled,8,Friday,Young (18-29),Normal,Far,Budget
21,2024-10-22,45,Italian,343.21,8.39,77,Cash,4.7,Cancelled,10,Tuesday,Senior (45+),Slow,Medium,Budget
22,2024-12-24,57,Cafe,628.52,12.79,50,UPI,4.0,Cancelled,12,Tuesday,Senior (45+),Normal,Far,Regular
23,2024-07-11,38,Indian,471.61,10.22,33,Cash,4.8,Delivered,7,Thursday,Adult (30-44),Normal,Far,Regular
24,2024-06-12,36,Fast Food,873.9,8.41,20,Wallet,3.8,Cancelled,6,Wednesday,Adult (30-44),Fast,Medium,Premium
25,2024-03-18,53,Bakery,310.93,10.26,17,Wallet,3.1,Delivered,3,Monday,Senior (45+),Fast,Far,Budget
26,2024-06-28,46,Indian,556.41,8.18,60,Card,2.6,Cancelled,6,Friday,Senior (45+),Slow,Medium,Regular
27,2024-03-25,53,Indian,921.62,12.48,56,Card,4.1,Cancelled,3,Monday,Senior (45+),Normal,Far,Premium
28,2024-09-20,38,Cafe,272.59,6.26,21,UPI,4.7,Cancelled,9,Friday,Adult (30-44),Fast,Medium,Budget
29,2024-05-26,43,Bakery,807.09,10.99,84,Card,4.4,Delayed,5,Sunday,Adult (30-44),Slow,Far,Regular
30,2024-08-04,24,Cafe,209.75,10.47,82,UPI,3.3,Delivered,8,Sunday,Young (18-29),Slow,Far,Budget
31,2024-08-13,46,Bakery,572.97,7.68,57,Wallet,3.4,Delayed,8,Tuesday,Senior (45+),Normal,Medium,Regular
32,2024-08-15,55,Indian,453.01,7.74,72,Cash,3.5,Delayed,8,Thursday,Senior (45+),Slow,Medium,Regular
33,2024-04-24,44,Chinese,266.46,1.75,71,Cash,3.4,Cancelled,4,Wednesday,Adult (30-44),Slow,Near,Budget
34,2024-11-05,65,Cafe,901.81,6.52,55,Wallet,2.8,Delivered,11,Tuesday,Senior (45+),Normal,Medium,Premium
35,2024-03-28,21,Bakery,335.18,3.36,27,Wallet,4.3,Delivered,3,Thursday,Young (18-29),Fast,Near,Budget
36,2024-06-12,58,Cafe,450.15,14.02,29,Cash,3.5,Cancelled,6,Wednesday,Senior (45+),Fast,Far,Regular
37,2024-10-10,24,Fast Food,412.83,8.04,65,Wallet,3.7,Delivered,10,Thursday,Young (18-29),Slow,Medium,Budget
38,2024-03-31,40,Indian,686.97,13.24,16,Cash,4.1,Cancelled,3,Sunday,Adult (30-44),Fast,Far,Regular
39,2024-01-09,47,Chinese,194.0,12.99,16,UPI,3.2,Delayed,1,Tuesday,Senior (45+),Fast,Far,Budget
40,2024-01-14,26,Cafe,1019.66,11.56,60,UPI,4.9,Delayed,1,Sunday,Young (18-29),Slow,Far,Premium
41,2024-12-08,26,Bakery,172.51,6.54,15,Card,4.2,Delivered,12,Sunday,Young (18-29),Fast,Medium,Budget
42,2024-02-22,30,Italian,889.5,4.34,69,Wallet,4.3,Delayed,2,Thursday,Adult (30-44),Slow,Near,Premium
43,2024-07-01,19,Fast Food,346.38,4.79,66,Cash,4.1,Delivered,7,Monday,Young (18-29),Slow,Near,Budget
44,2024-12-12,40,Cafe,164.18,9.13,73,Card,3.1,Cancelled,12,Thursday,Adult (30-44),Slow,Medium,Budget
45,2024-10-24,20,Indian,985.03,6.83,71,UPI,4.3,Delivered,10,Thursday,Young (18-29),Slow,Medium,Premium
46,2024-12-12,29,Cafe,412.23,11.33,41,Card,2.7,Delayed,12,Thursday,Young (18-29),Normal,Far,Budget
47,2024-05-30,52,Indian,286.76,5.08,27,Wallet,3.2,Delivered,5,Thursday,Senior (45+),Fast,Medium,Budget
48,2024-11-23,38,Indian,481.74,8.16,77,Card,3.5,Delayed,11,Saturday,Adult (30-44),Slow,Medium,Regular
49,2024-03-02,53,Fast Food,468.92,6.71,60,Cash,2.8,Delayed,3,Saturday,Senior (45+),Slow,Medium,Regular
50,2024-11-02,54,Chinese,809.62,3.33,64,Card,2.7,Delayed,11,Saturday,Senior (45+),Slow,Near,Regular
51,2024-11-28,33,Italian,854.03,12.18,33,UPI,2.7,Cancelled,11,Thursday,Adult (30-44),Normal,Far,Premium
52,2024-09-01,64,Indian,499.12,1.64,79,UPI,4.2,Delayed,9,Sunday,Senior (45+),Slow,Near,Regular
53,2024-01-29,55,Chinese,331.23,8.32,26,Cash,3.9,Cancelled,1,Monday,Senior (45+),Fast,Medium,Budget
54,2024-02-07,59,Cafe,658.77,4.93,86,UPI,2.6,Delayed,2,Wednesday,Senior (45+),Slow,Near,Regular
55,2024-11-11,64,Bakery,668.85,9.82,51,Card,3.2,Delayed,11,Monday,Senior (45+),Normal,Medium,Regular
56,2024-08-28,25,Indian,401.65,11.59,64,Card,3.9,Delivered,8,Wednesday,Young (18-29),Slow,Far,Budget
57,2024-10-03,46,Chinese,779.74,12.57,31,UPI,4.5,Delayed,10,Thursday,Senior (45+),Normal,Far,Regular
58,2024-03-11,47,Indian,439.7,0.56,38,UPI,4.4,Cancelled,3,Monday,Senior (45+),Normal,Near,Budget
59,2024-12-19,20,Indian,698.47,12.98,89,Cash,4.6,Delayed,12,Thursday,Young (18-29),Slow,Far,Regular
60,2024-12-20,52,Cafe,937.01,7.65,74,UPI,4.4,Delayed,12,Friday,Senior (45+),Slow,Medium,Premium
61,2024-07-28,39,Bakery,1183.0,4.69,53,Wallet,3.9,Cancelled,7,Sunday,Adult (30-44),Normal,Near,Premium
62,2024-03-08,54,Fast Food,1004.92,11.83,40,Card,4.8,Cancelled,3,Friday,Senior (45+),Normal,Far,Premium
63,2024-05-09,41,Italian,576.89,9.03,52,UPI,3.1,Delayed,5,Thursday,Adult (30-44),Normal,Medium,Regular
64,2024-12-09,19,Cafe,938.23,7.48,71,Cash,4.9,Delivered,12,Monday,Young (18-29),Slow,Medium,Premium
65,2024-10-20,38,Fast Food,420.05,8.92,68,Wallet,4.3,Cancelled,10,Sunday,Adult (30-44),Slow,Medium,Budget
66,2024-09-11,48,Indian,419.6,1.5,78,Card,3.1,Delayed,9,Wednesday,Senior (45+),Slow,Near,Budget
67,2024-08-21,62,Italian,805.56,8.92,27,Wallet,3.9,Cancelled,8,Wednesday,Senior (45+),Fast,Medium,Regular
68,2024-08-20,22,Bakery,835.98,5.85,67,Wallet,4.5,Delayed,8,Tuesday,Young (18-29),Slow,Medium,Regular
69,2024-10-14,30,Fast Food,800.35,8.85,85,Card,3.4,Cancelled,10,Monday,Adult (30-44),Slow,Medium,Regular
70,2024-05-01,55,Bakery,551.82,12.14,23,UPI,4.8,Delivered,5,Wednesday,Senior (45+),Fast,Far,Regular
71,2024-06-11,49,Bakery,532.03,6.75,64,Wallet,3.7,Cancelled,6,Tuesday,Senior (45+),Slow,Medium,Regular
72,2024-10-11,37,Bakery,1096.12,1.82,45,UPI,4.8,Delivered,10,Friday,Adult (30-44),Normal,Near,Premium
